taxonID	vernacularName	language	countryCode	locality	source
6848855	Bonaparte's Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848855	Bonaparte's Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848854	mouette de Franklin	French			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848854	mouette de Franklin	French			2005. website, AOU Check-List (07-2005).
6848854	mouette de Franklin	French			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848854	mouette de Franklin	French			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848854	Gaviota de Franklin	Spanish			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848854	Gaviota de Franklin	Spanish			2005. website, AOU Check-List (07-2005).
6848854	Gaviota de Franklin	Spanish			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848854	Gaviota de Franklin	Spanish			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848854	Franklin's Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848854	Franklin's Gull	English			2005. website, AOU Check-List (07-2005).
6848854	Franklin's Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848854	Franklin's Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848878	Relict Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848852	mouette rieuse	French			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848852	mouette rieuse	French			2005. website, AOU Check-List (07-2005).
6848852	mouette rieuse	French			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848852	mouette rieuse	French			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848852	Gaviota encapuchada	Spanish			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848852	Gaviota encapuchada	Spanish			2005. website, AOU Check-List (07-2005).
6848852	Gaviota encapuchada	Spanish			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848852	Gaviota encapuchada	Spanish			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848852	Common Black-headed Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848852	Common Black-headed Gull	English			2005. website, AOU Check-List (07-2005).
6848852	Common Black-headed Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848852	Common Black-headed Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848852	Black-headed Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848852	Black-headed Gull	English			2005. website, AOU Check-List (07-2005).
6848852	Black-headed Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848852	Black-headed Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848879	Ross' Gull				Banks, R. C., R. W. McDiarmid, and A. L. Gardner. 1987. Checklist of Vertebrates of the United States, the U.S. Territories, and Canada. Resource Publication, no. 166.
